"","A1_FakiAligned","A2_FakiAligned","A2_UntxAligned","A3_FakiAligned","A3_UntxAligned","B1_FakiAligned","B1_UntxAligned","B2_FakiAligned","B3_FakiAligned","B3_UntxAligned","FAKinh_1_ItgB4Aligned","FAKinh_2_ItgB4Aligned","FAKinh_3_ItgB4Aligned","UnTx1_ItgB4Aligned","UnTx3_ItgB4Aligned"
"Sepn1",5307,10045,4454,5882,6722,2385,2331,2704,2133,2750,1667,2450,2245,2739,3521
"Sepp1",77901,63606,23257,94892,52835,16817,8734,23330,15287,13906,15046,16658,19760,3828,9150
"Sepsecs",432,701,600,558,840,1035,566,929,1028,738,1039,745,1196,511,749
"Sept1",273,857,50,354,128,15,38,24,7,40,92,93,68,33,64
"Sept10",717,1082,683,909,991,651,672,874,580,779,341,671,426,709,365
"Sept11",6020,8914,7865,8029,12830,4802,4916,4200,4363,4993,2817,3810,4312,5512,5768
"Sept12",0,0,10,0,17,0,9,0,3,4,0,0,0,0,17
"Sept14",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"Sept2",6553,8685,6278,8818,11137,9428,6199,8829,8447,7718,8316,7445,9459,5284,6248
"Sept3",4,36,37,0,370,10,10,0,14,23,104,184,109,98,180
"Sept4",338,186,83,426,130,75,57,118,46,81,119,207,123,42,74
"Sept5",1118,1164,124,1211,891,35,37,24,27,62,54,64,55,69,166
"Sept6",919,1635,501,1178,1145,320,227,572,428,425,396,423,543,408,984
"Sept7",18744,21720,12253,25241,19358,18005,10536,15531,16164,13321,14021,12632,15926,4436,7141
"Sept8",4215,5571,4677,4429,5213,4198,2759,4084,4195,2943,2825,2832,3291,4478,4492
"Sept9",1794,3724,1831,2525,5061,2182,1142,2768,2169,1564,713,757,692,593,2294
"Sepw1",6694,5870,4250,7892,6803,3685,3118,3567,3102,3300,4436,3724,4494,3497,4976
"Serac1",580,703,901,573,638,803,494,839,562,857,541,839,547,308,547
"Serbp1",9729,9009,14478,11117,14687,16271,12633,15696,14287,13941,15713,15316,16710,10215,11524
"Serf1",299,265,377,260,550,372,389,402,255,440,391,600,278,345,597
"Serf2",2140,2243,3677,2354,3264,3787,2855,3372,3121,3352,4299,5133,5069,4999,4035
"Sergef",653,557,533,627,645,391,435,484,403,495,483,641,404,314,785
"Serhl",366,552,917,620,890,964,795,1128,844,1236,916,937,903,867,811
"Serinc1",24762,26009,15748,31383,22410,26351,12775,20265,24796,14498,25090,19121,31434,10857,12412
"Serinc2",250,421,6570,307,3340,7741,4805,7692,7466,6287,3563,3616,3817,4218,4996
"Serinc3",77672,76760,142752,89974,107015,177846,106709,205533,166370,136180,162099,150657,195042,88576,92631
"Serinc4",27,40,43,29,30,41,40,35,30,48,54,70,42,58,37
"Serinc5",2528,5091,12911,3751,6788,18532,9594,15555,19176,11204,7078,5747,9971,8682,5936
"Serp1",28011,45912,83229,34816,66669,108422,68981,91906,100384,79391,127447,137124,140033,97183,76955
"Serp2",229,138,9,132,124,2,0,0,0,3,8,7,2,6,56
"Serpina10",1,0,0,0,0,0,2,0,0,3,0,0,0,0,0
"Serpina11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpina12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Serpina1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpina1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpina1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpina1d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serpina1e",0,1,0,0,0,0,0,0,0,0,0,0,0,0,27
"Serpina1f",49,198,454,45,1110,408,374,2061,319,518,1466,2343,862,1714,2563
"Serpina3a",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Serpina3b",5,3,0,2,11,0,0,0,0,0,0,0,0,0,0
